"goal","dimension","region_id","score","old_score","change"
"FIS","score",258432,47.99,47.91,0.0800000000000054
"FIS","score",258441,NA,NA,NA
"FIS","score",258442,74.97,74.79,0.179999999999993
"FIS","score",258510,91.5,91.5,0
"FIS","score",258520,77,76.91,0.0900000000000034
"FIS","score",258600,52.96,52.83,0.130000000000003
"FIS","score",258700,24.68,24.65,0.0300000000000011
"FIS","score",288100,94.5,94.5,0
"FIS","score",288200,25.92,25.88,0.0400000000000027
"FIS","score",288300,55.36,55.2,0.159999999999997
"FIS","status",0,51.89,51.89,0
"FIS","status",248100,29,29,0
"FIS","status",248200,24,24,0
"FIS","status",248300,31,31,0
"FIS","status",248400,26,26,0
"FIS","status",248500,NA,NA,NA
"FIS","status",248600,31,31,0
"FIS","status",258410,86,86,0
"FIS","status",258420,27,27,0
"FIS","status",258431,60,60,0
"FIS","status",258432,48,48,0
"FIS","status",258441,NA,NA,NA
"FIS","status",258442,76,76,0
"FIS","status",258510,83,83,0
"FIS","status",258520,72,72,0
"FIS","status",258600,53,53,0
"FIS","status",258700,22,22,0
"FIS","status",288100,89,89,0
"FIS","status",288200,23,23,0
"FIS","status",288300,69,69,0
"FIS","trend",248100,0.02,0.02,0
"FIS","trend",248200,-0.05,-0.05,0
"FIS","trend",248300,0.1,0.1,0
"FIS","trend",248400,-0.05,-0.05,0
"FIS","trend",248500,NA,NA,NA
"FIS","trend",248600,0.1,0.1,0
"FIS","trend",258410,0.39,0.39,0
"FIS","trend",258420,-0.52,-0.52,0
"FIS","trend",258431,0.22,0.22,0
"FIS","trend",258432,-0.41,-0.41,0
"FIS","trend",258441,-1,-1,0
"FIS","trend",258442,-0.45,-0.45,0
"FIS","trend",258510,0.39,0.39,0
"FIS","trend",258520,-0.2,-0.2,0
"FIS","trend",258600,-0.41,-0.41,0
"FIS","trend",258700,-0.04,-0.04,0
"FIS","trend",288100,0.31,0.31,0
"FIS","trend",288200,-0.03,-0.03,0
"FIS","trend",288300,-1,-1,0
"FP","future",0,57.56,57.45,0.109999999999999
"FP","future",248100,36.15,36.04,0.109999999999999
"FP","future",248200,28.98,28.92,0.0599999999999987
"FP","future",248300,40.47,40.31,0.159999999999997
"FP","future",248400,32.16,32.1,0.0599999999999952
"FP","future",248500,NA,NA,NA
"FP","future",248600,41.56,41.47,0.0900000000000034
"FP","future",258410,100,100,0
"FP","future",258420,25.02,24.92,0.0999999999999979
"FP","future",258431,85.34,85.15,0.189999999999998
"FP","future",258432,47.97,47.82,0.149999999999999
"FP","future",258441,NA,NA,NA
"FP","future",258442,73.93,73.59,0.340000000000003
"FP","future",258510,100,100,0
"FP","future",258520,82,81.81,0.189999999999998
"FP","future",258600,52.92,52.66,0.260000000000005
"FP","future",258700,27.35,27.3,0.0500000000000007
"FP","future",288100,100,100,0
"FP","future",288200,28.84,28.76,0.0799999999999983
"FP","future",288300,41.72,41.4,0.32
"FP","pressures",248100,NA,NA,NA
"FP","pressures",248200,NA,NA,NA
"FP","pressures",248300,NA,NA,NA
"FP","pressures",248400,NA,NA,NA
"FP","pressures",248500,NA,NA,NA
"FP","pressures",248600,NA,NA,NA
"FP","pressures",258410,NA,NA,NA
"FP","pressures",258420,NA,NA,NA
"FP","pressures",258431,NA,NA,NA
"FP","pressures",258432,NA,NA,NA
"FP","pressures",258441,NA,NA,NA
"FP","pressures",258442,NA,NA,NA
"FP","pressures",258510,NA,NA,NA
"FP","pressures",258520,NA,NA,NA
"FP","pressures",258600,NA,NA,NA
"FP","pressures",258700,NA,NA,NA
"FP","pressures",288100,NA,NA,NA
"FP","pressures",288200,NA,NA,NA
"FP","pressures",288300,NA,NA,NA
"FP","resilience",248100,NA,NA,NA
"FP","resilience",248200,NA,NA,NA
"FP","resilience",248300,NA,NA,NA
"FP","resilience",248400,NA,NA,NA
"FP","resilience",248500,NA,NA,NA
"FP","resilience",248600,NA,NA,NA
"FP","resilience",258410,NA,NA,NA
"FP","resilience",258420,NA,NA,NA
"FP","resilience",258431,NA,NA,NA
"FP","resilience",258432,NA,NA,NA
"FP","resilience",258441,NA,NA,NA
"FP","resilience",258442,NA,NA,NA
"FP","resilience",258510,NA,NA,NA
"FP","resilience",258520,NA,NA,NA
"FP","resilience",258600,NA,NA,NA
"FP","resilience",258700,NA,NA,NA
"FP","resilience",288100,NA,NA,NA
"FP","resilience",288200,NA,NA,NA
"FP","resilience",288300,NA,NA,NA
"FP","score",0,54.72,54.67,0.0499999999999972
"FP","score",248100,32.58,32.52,0.0599999999999952
"FP","score",248200,26.49,26.46,0.0299999999999976
"FP","score",248300,35.74,35.66,0.0800000000000054
"FP","score",248400,29.08,29.05,0.0299999999999976
"FP","score",248500,NA,NA,NA
"FP","score",248600,36.28,36.24,0.0399999999999991
"FP","score",258410,93,93,0
"FP","score",258420,26.01,25.96,0.0500000000000007
"FP","score",258431,72.67,72.57,0.100000000000009
"FP","score",258432,47.99,47.91,0.0800000000000054
"FP","score",258441,NA,NA,NA
"FP","score",258442,74.97,74.79,0.179999999999993
