region_id,country,likely_future_state_2012,likely_future_state_2013,likely_future_state_2014,likely_future_state_2015,likely_future_state_2016,score_2012,score_2013,score_2014,score_2015,score_2016,status_2012,status_2013,status_2014,status_2015,status_2016,pred_change,obs_change
120,Antigua and Barbuda,82.34,83.27,83.21,85.18,83.59,80.71,80.99,80.83,81.73,80.85,79.07555555555555,78.71111111111111,78.45555555555556,78.27777777777777,78.11777777777777,3.2644444444444503,-0.9577777777777783
121,Montserrat,67.23,69.47,69.99,69.92,69.35,72.23,73.52,73.83,73.48,73.18,77.22666666666666,77.56444444444445,77.66222222222223,77.03222222222222,77.00222222222222,-9.996666666666655,-0.224444444444444
122,Saint Lucia,61.11,61.02,61.12,61.02,60.2,59.9,60.22,60.18,60.03,59.51,58.689,59.424,59.249,59.047000000000004,58.824,2.4209999999999994,0.134999999999998
123,Dominica,54.08,55.48,52.05,50.97,52.71,52.11,53.49,50.41,50.34,51.78,50.144999999999996,51.509,48.759,49.702999999999996,50.843,3.9350000000000023,0.6980000000000075
124,Barbados,58.25,57.5,57.6,57.65,56.57,56.63,56.16,56.27,56.37,55.57,54.997,54.82000000000001,54.93300000000001,55.085,54.58,3.253,-0.4170000000000016
125,Grenada,62.21,61.75,62.12,61.84,62.49,60.47,60.27,60.39,60.08,60.43,58.72,58.79333333333333,58.66777777777778,58.31888888888889,58.361111111111114,3.490000000000002,-0.3588888888888846
126,Trinidad and Tobago,73,74.55,75.22,74.93,74.77,71.92,72.46,72.79,72.45,72.45,70.837,70.38000000000001,70.349,69.968,70.127,2.1629999999999967,-0.710000000000008
127,Saint Vincent and the Grenadines,56.55,57.76,58.46,57.49,57.87,55.96,56.69,56.99,56.22,56.34,55.370000000000005,55.61900000000001,55.509,54.940999999999995,54.801,1.1799999999999926,-0.5690000000000026
129,Panama,65.33,62.04,62.86,64.71,66.57,62.4,60.6,60.69,61.98,64.17,59.472,59.163,58.517999999999994,59.246,61.763999999999996,5.857999999999997,2.2919999999999945
130,Costa Rica,72.44,68.6,64.31,62.7,62.5,69.08,66.37,62.63,60.66,60.26,65.71700000000001,64.138,60.943,58.621,58.016,6.722999999999985,-7.701000000000015
131,Nicaragua,56.59,51.48,47.88,47.15,47.14,53.39,50.38,47.49,46.95,46.8,50.199,49.275,47.105000000000004,46.749,46.457,6.391000000000005,-3.7419999999999973
132,Colombia,64.27,62.86,61,60.65,59.49,62.96,62.24,61.19,61.07,59.99,61.649,61.617999999999995,61.387,61.486000000000004,60.48100000000001,2.620999999999995,-1.1679999999999922
133,Honduras,65.79,66.11,67.67,67.77,67.65,63.04,63.42,64.67,64.76,64.7,60.29299999999999,60.73,61.67100000000001,61.757000000000005,61.751999999999995,5.497000000000014,1.4590000000000032
134,El Salvador,60.33,61.66,54.84,54.04,53.91,57.87,58.72,53.88,53.03,52.92,55.403999999999996,55.784000000000006,52.925,52.025999999999996,51.931000000000004,4.926000000000002,-3.472999999999992
135,Mexico,66.27,65.8,65.18,65.5,65.19,69.11,68.63,68.02,68.31,68.08,71.958,71.471,70.85,71.113,70.971,-5.688000000000002,-0.9869999999999948
136,Guatemala,65.11,63.32,63.09,61.83,61.11,64.7,63.35,62.85,61.41,60.54,64.291,63.394000000000005,62.612,60.985,59.96900000000001,0.8190000000000026,-4.3219999999999885
137,Ecuador,75.45,76.03,75.8,75.94,76.35,73.23,74.1,73.71,74.09,74.39,71.003,72.172,71.627,72.248,72.433,4.447000000000003,1.4300000000000068
138,Peru,68.05,67.76,65.89,62.62,61.24,65.3,65.24,64.01,61.69,60.53,62.548,62.711,62.134,60.766999999999996,59.825,5.501999999999995,-2.722999999999999
139,Venezuela,58.4,61.05,60.64,60.68,61.45,59.69,61.2,60.68,60.66,61.05,60.988,61.342,60.721000000000004,60.64,60.645,-2.588000000000001,-0.3429999999999964
140,Guadeloupe and Martinique,74.91,75.75,75.9,74.16,73.71,72.05,72.72,72.81,71.8,71.47,69.19222222222223,69.6888888888889,69.71555555555557,69.44222222222223,69.23111111111112,5.717777777777769,0.038888888888891415
141,Faeroe Islands,69.37,74.24,74.18,64.9,62.01,64.57,67.29,67.35,60.98,57.96,59.761250000000004,60.33375,60.53125,57.06375,53.9075,9.60875,-5.853750000000005
