region_name,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,ECO,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
Denmark,175,67.24,74.16,84.54,72.07,59.6,61.8,70.13,54.26,65.68,66.22,66.77,31.07,37.07,87.6,87.38,93.69,100,92.24,50.79
Haiti,114,67.11,77.85,80.88,75.3,69.71,67,94.27,40.33,93.94,96.97,100,34.7,34.7,0,70,66.2,62.41,78.68,39.8
Curacao,244,67.09,77.78,80.76,77.23,73.7,100,50.65,66.72,75.24,68.81,62.37,50.25,50.25,NA,70.59,59.01,47.42,81.42,39.06
East Timor,231,67.01,73.82,84.64,86.83,89.02,78.83,70.71,59.12,0.05,27.48,54.92,45.37,44.61,0.33,70.24,60.48,50.71,82.76,85.47
Nigeria,196,67,81.93,76.1,87.14,98.19,91.75,96.86,36.74,52.19,76.1,100,50.22,50.22,0,73.44,41.12,8.81,88.66,19.46
Japan,210,66.98,59.71,79.86,76.94,74.01,71.83,62.86,60.93,100,76.07,52.13,46.03,42.53,27.68,65.07,82.53,100,69.43,NA
Philippines,15,66.81,87.97,85.79,83.31,80.82,93.05,74.95,52.56,45.52,43.94,42.36,32.81,27.45,10.64,65.01,46.38,27.75,71.81,86.66
Norfolk Island,3,66.74,42.99,76.12,88.06,100,100,NA,76.15,100,96.35,92.7,8.63,8.63,0,71.13,43.66,16.18,78.1,NA
Dominica,123,66.71,55.51,82.25,82.61,82.98,96.89,100,59.76,86.61,79.9,73.2,49.43,49.43,0,77.24,44.15,11.06,79.02,19.81
Cyprus,81,66.29,64.99,62.63,67.89,73.14,71.75,74.26,57.58,64.67,63.18,61.69,62.62,41.47,31.1,62.66,47.68,32.7,74.07,100
Saint Helena,86,66.28,68.68,76.03,87.44,98.86,NA,98.86,90.36,23.14,40.59,58.04,44.11,44.11,0,67.8,33.9,0,NA,NA
Anguilla,118,66.26,88.76,79.71,82.32,84.94,57.03,100,59.77,80.34,58.01,35.69,62.45,62.45,0,76.36,56.24,36.11,66.75,31.24
Algeria,84,66.08,59.63,65.73,73.46,81.18,99,65.39,43.88,100,100,100,53.64,53.22,1.24,66.65,38.25,9.86,61.89,NA
Glorioso Islands,30,66.02,NA,80.93,88.29,95.66,88.22,NA,86.21,95.29,94.34,93.4,14.9,14.9,NA,48.28,24.14,0,NA,NA
Argentina,172,65.76,51.68,74.73,65.82,56.91,55.47,81.7,78.98,100,90.01,80.01,42.66,42.66,0,63.24,81.62,100,44.31,65.36
Wake Island,12,65.71,NA,73.68,73.62,73.56,73.56,NA,71.25,64.17,68.89,73.61,21.67,21.67,NA,71.68,85.84,100,65.13,NA
Falkland Islands,95,65.54,77,80.34,56.07,31.81,62.22,NA,98.94,16.17,36.68,57.2,63.04,63.04,0,60.62,31.55,2.48,98.8,NA
Faeroe Islands,141,65.48,86.02,78,56.87,35.75,61.44,NA,69.78,83.73,84.74,85.75,26.13,23.65,16.79,71.89,41.37,10.86,99.97,NA
Albania,82,65.46,49.38,72.62,67.17,61.72,73.69,71.43,57.39,100,100,100,12.91,12.55,11.91,78.12,73.64,69.17,55.6,93.79
El Salvador,134,65.36,70.37,79.84,82.48,85.12,80.14,79.84,46.51,100,70.74,41.49,21.14,20.15,0.33,67.39,78.74,90.1,65.13,59.47
Tunisia,61,65.28,66.7,71.73,68.58,65.44,65.71,68.32,50.72,100,82.28,64.56,33.33,30.56,1.38,66.7,55.73,44.76,82.17,82.08
Georgia,74,65.13,21.85,85,74.21,63.42,74.93,74.93,56.7,100,99.53,99.06,65.83,65.83,0,37.3,29.58,21.86,99.46,54.32
Northern Mariana Islands and Guam,13,65.12,65.82,75.24,79.61,83.98,73.06,66.15,61.49,44.75,58.69,72.64,28.5,24.06,0.41,62.95,48.3,33.66,75.59,98.37
Singapore,208,65.12,97.05,83.81,75.17,66.54,66.65,67.77,50.02,100,96.36,92.71,27.67,56.3,78.37,64.2,32.47,0.75,22.74,86.64
Johnston Atoll,159,65.06,NA,74.29,80.29,86.28,73.56,NA,75.39,NA,NA,NA,10.24,10.24,NA,71.68,85.84,100,NA,NA
Guernsey,228,65.05,89.73,81.23,69.72,58.2,62.9,74.65,48.54,81.55,83.65,85.75,63.48,65.82,87.02,74.07,39.73,5.38,50.72,NA
Cayman Islands,113,65,100,79.39,79.6,79.82,56.07,80.58,52.64,99.67,99.83,100,46.48,46.48,0,69.81,49.78,29.74,NA,20
Pakistan,53,64.94,43.19,79.47,77.13,74.79,24.48,56.58,46.97,100,84.49,68.97,65.73,65.72,0.01,62.87,56.87,50.88,98.5,95.52
